20299,20.00,45.55,47.75,54.70,19.00,23.05,36.95,46.63

40321,20.00,48.75,50.00,50.00,20.00,25.30,37.65,45.95

60341,20.00,48.35,51.15,59.25,20.00,25.80,38.60,52.75

80365,20.00,48.90,50.00,50.00,20.00,25.50,39.70,53.15

100389,20.00,49.90,50.00,50.00,20.00,25.85,40.90,54.75

120414,20.00,48.05,50.00,50.00,20.00,23.90,36.65,46.55

140441,20.00,47.60,49.50,50.00,20.00,22.85,33.60,40.30

160467,20.00,44.10,48.05,50.00,20.00,22.25,33.25,43.50

181018,20.00,42.45,45.70,50.00,20.00,20.90,31.65,40.55

200525,20.00,44.20,45.55,49.35,20.00,20.50,33.15,44.65

220554,20.00,42.80,45.60,49.20,20.00,21.25,33.40,44.45

241079,20.00,40.70,43.40,48.80,20.00,21.45,32.10,40.80

260611,20.00,42.55,44.45,48.95,20.00,20.25,30.95,40.85

280641,20.00,39.55,42.45,49.30,20.00,20.45,31.90,45.75

300672,20.00,41.90,44.70,50.00,20.00,19.95,28.25,39.10

320704,20.00,41.70,43.95,48.80,20.00,20.05,28.45,37.80

340735,20.00,42.80,47.10,49.55,20.00,20.40,30.00,39.10

360765,20.00,43.80,46.40,50.00,20.00,20.45,30.80,37.05

380797,20.00,42.60,45.40,50.00,20.00,20.40,32.60,42.65

400829,20.00,43.45,46.95,49.90,20.00,21.10,30.85,40.40

420859,20.00,39.55,43.90,48.80,20.00,21.80,32.10,41.35

440890,20.00,41.50,42.30,48.00,20.00,21.30,31.60,39.90

460921,20.00,41.60,43.05,48.45,20.00,20.75,32.00,38.20

480953,20.00,41.10,44.45,49.55,20.00,21.10,31.50,41.15

501497,20.00,41.00,43.15,48.05,20.00,20.15,31.85,42.15

521017,20.00,41.60,44.80,49.35,20.00,20.05,30.30,34.40

541046,20.00,38.95,42.15,48.20,20.00,19.60,29.00,33.35

561076,20.00,39.55,43.30,48.70,20.00,20.80,28.60,35.20

581181,20.00,37.30,41.50,47.70,20.00,20.20,30.70,38.35

601137,20.00,37.20,40.00,47.65,20.00,18.95,29.95,38.75

621168,20.00,38.75,40.80,46.85,20.00,20.40,29.35,36.80

641198,20.00,39.85,41.10,46.85,20.00,18.30,26.30,35.00

661227,20.00,39.50,42.00,47.60,20.00,18.35,26.95,31.35

681259,20.00,36.95,41.30,47.60,20.00,19.35,28.25,32.85

701289,20.00,37.90,40.95,46.90,20.00,17.45,23.35,27.60

721319,20.00,37.70,40.00,46.60,20.00,18.15,25.55,34.20

741350,20.00,35.95,39.30,45.95,20.00,18.00,27.05,32.85

761509,20.00,37.60,39.65,46.90,20.00,18.25,23.65,27.65

781412,20.00,36.45,39.15,45.20,20.00,17.65,26.40,32.05

801441,20.00,36.70,39.30,46.00,20.00,18.65,27.95,36.00

821756,20.00,35.20,38.35,43.95,20.00,17.15,23.45,30.00

842023,20.00,33.90,37.15,43.80,20.00,15.70,23.60,33.35

861529,20.00,36.30,37.80,44.15,20.00,15.50,21.55,28.70

881558,20.00,34.95,38.65,44.65,20.00,15.95,22.20,28.90

901587,20.00,31.85,35.75,41.05,20.00,15.05,24.15,28.15

921615,20.00,31.60,34.90,40.40,20.00,13.85,21.55,24.75

941642,20.00,32.10,34.50,42.35,20.00,14.35,19.60,22.20

961670,20.00,28.10,32.10,39.20,20.00,14.70,20.05,29.00

981700,20.00,32.25,34.70,41.40,20.00,13.70,19.05,22.70

1001730,20.00,34.50,36.50,41.75,20.00,13.35,19.00,24.25

1022260,20.00,31.40,35.15,41.70,20.00,14.95,22.35,28.70

1041787,20.00,33.70,35.95,41.85,20.00,13.25,22.55,26.70

1061817,20.00,30.15,34.95,41.35,20.00,13.00,20.60,23.25

1081845,20.00,29.95,32.20,38.70,20.00,14.85,20.75,28.30

1101874,20.00,32.10,34.75,43.45,20.00,15.10,21.25,28.85

1121902,20.00,28.05,32.85,39.35,20.00,12.90,19.10,24.50

1141930,20.00,28.60,30.50,35.70,20.00,13.90,18.70,23.10

1162241,20.00,28.70,30.70,37.70,20.00,14.45,20.35,27.60

1181986,20.00,30.45,34.20,39.05,20.00,13.00,19.20,25.20

1202013,20.00,27.65,31.40,39.20,20.00,13.05,20.20,21.90

1222042,20.00,28.45,31.15,39.25,20.00,12.80,17.20,20.05

1242071,20.00,30.25,33.40,41.05,20.00,13.10,16.40,19.90

1262385,20.00,28.85,31.55,39.30,20.00,11.20,16.95,21.50

1282652,20.00,25.10,28.10,34.00,20.00,12.50,18.00,22.15

1302157,20.00,24.65,28.25,36.50,20.00,11.75,16.60,18.70

1322186,20.00,26.75,29.00,33.90,20.00,12.20,17.70,22.95

1342214,20.00,24.90,27.60,33.35,20.00,11.80,16.20,19.55

1362243,19.00,26.79,28.11,32.26,20.00,11.60,14.60,19.75

1382272,20.00,26.85,29.40,37.25,20.00,12.25,16.55,19.65

1402305,20.00,24.70,27.70,35.25,20.00,10.15,14.55,17.20

1422331,20.00,23.15,26.70,33.80,20.00,9.60,15.50,20.80

1442361,20.00,25.10,26.80,34.10,20.00,10.75,15.85,18.50

1462391,20.00,28.15,30.10,37.25,20.00,10.90,15.90,21.10

1482420,20.00,26.25,29.45,34.75,20.00,10.10,14.30,21.60

1502452,20.00,26.75,29.40,35.85,20.00,10.65,15.05,18.90

1522749,20.00,22.95,27.30,34.00,20.00,10.05,14.70,16.30

1542508,20.00,22.00,25.35,31.15,20.00,9.90,13.90,16.20

